L1,L2,L3,RAM
51,45,69,294
45,54,69,1212
54,45,69,294
45,51,72,1221
45,45,63,294
51,51,69,1212
48,51,75,294
51,45,69,1218
45,45,72,294
45,54,69,309
48,45,69,306
45,45,63,300
51,45,69,369
45,51,69,294
54,51,69,1218
45,48,69,294
45,51,72,1224
45,45,72,294
48,48,72,1215
51,45,72,291
45,45,75,1212
51,51,72,294
48,45,69,1215
45,54,69,297
45,45,69,1221
45,45,72,294
54,45,69,1215
45,54,69,309
51,45,69,294
45,51,72,1032
48,45,69,294
45,48,69,1218
45,45,69,297
51,45,72,1218
48,45,69,294
51,51,81,1215
45,45,69,300
45,45,69,1200
54,45,69,294
45,51,69,1224
51,45,69,294
45,45,69,1215
54,51,72,291
45,48,69,1224
45,48,69,297
51,54,69,300
48,48,72,306
51,51,72,300
45,45,69,633
45,51,90,294
48,51,78,1221
45,45,69,294
51,45,69,1194
45,45,69,294
54,45,69,1218
45,54,69,294
45,45,72,1209
45,54,69,294
48,45,69,1218
51,51,69,297
45,45,69,1209
51,45,69,294
48,45,72,1218
45,45,69,306
45,51,78,471
45,48,69,291
54,48,72,1224
45,51,69,294
51,51,69,1197
45,45,69,297
48,54,69,1221
45,45,63,294
45,51,69,1212
51,45,63,294
48,51,69,1221
51,45,69,294
45,51,72,1194
45,45,69,294
54,45,72,1218
45,51,75,294
51,48,69,1212
45,54,63,294
54,45,69,306
45,45,69,300
45,45,69,300
51,45,69,684
48,45,69,294
51,48,69,1218
45,45,69,294
45,51,72,1224
48,45,69,294
45,45,69,1215
51,45,72,294
45,51,78,1212
54,45,72,294
45,45,72,1215
45,45,69,297
45,45,72,1221
48,48,69,294
51,54,69,300
45,48,72,303
51,45,69,309
48,45,72,303
45,54,69,669
45,54,69,294
45,45,63,1218
54,45,69,297
45,45,72,1218
51,48,78,294
45,45,69,1215
48,45,72,294
45,45,69,1218
45,51,69,294
51,45,72,1224
48,45,69,294
51,51,72,1215
45,45,69,294
45,51,63,891
54,45,72,297
45,51,69,1221
51,48,69,294
45,45,72,1212
54,54,69,294
45,45,75,1221
45,45,69,294
51,45,69,1212
48,45,72,294
51,54,69,1218
45,45,69,294
45,45,72,1209
48,45,72,294
45,45,72,1218
51,45,72,291
45,45,69,1209
54,48,69,294
45,45,69,546
45,45,72,297
45,45,75,1200
48,51,69,291
